SP     0020    SPACE
N,     0145    LATIN CAPITAL LETTER N WITH CEDILLA
n,     0146    LATIN SMALL LETTER N WITH CEDILLA
N<     0147    LATIN CAPITAL LETTER N WITH CARON
n<     0148    LATIN SMALL LETTER N WITH CARON
'n     0149    LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
NG     014a    LATIN CAPITAL LETTER ENG (Lappish)
ng     014b    LATIN SMALL LETTER ENG (Lappish)
O-     014c    LATIN CAPITAL LETTER O WITH MACRON
o-     014d    LATIN SMALL LETTER O WITH MACRON
O(     014e    LATIN CAPITAL LETTER O WITH BREVE
o(     014f    LATIN SMALL LETTER O WITH BREVE
O"     0150    LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
o"     0151    LATIN SMALL LETTER O WITH DOUBLE ACUTE
OE     0152    LATIN CAPITAL LIGATURE OE
oe     0153    LATIN SMALL LIGATURE OE
R'     0154    LATIN CAPITAL LETTER R WITH ACUTE
r'     0155    LATIN SMALL LETTER R WITH ACUTE
R,     0156    LATIN CAPITAL LETTER R WITH CEDILLA
r,     0157    LATIN SMALL LETTER R WITH CEDILLA
R<     0158    LATIN CAPITAL LETTER R WITH CARON
r<     0159    LATIN SMALL LETTER R WITH CARON
S'     015a    LATIN CAPITAL LETTER S WITH ACUTE
s'     015b    LATIN SMALL LETTER S WITH ACUTE
S>     015c    LATIN CAPITAL LETTER S WITH CIRCUMFLEX
s>     015d    LATIN SMALL LETTER S WITH CIRCUMFLEX
S,     015e    LATIN CAPITAL LETTER S WITH CEDILLA
s,     015f    LATIN SMALL LETTER S WITH CEDILLA
S<     0160    LATIN CAPITAL LETTER S WITH CARON
s<     0161    LATIN SMALL LETTER S WITH CARON
T,     0162    LATIN CAPITAL LETTER T WITH CEDILLA
t,     0163    LATIN SMALL LETTER T WITH CEDILLA
T<     0164    LATIN CAPITAL LETTER T WITH CARON
t<     0165    LATIN SMALL LETTER T WITH CARON
T/     0166    LATIN CAPITAL LETTER T WITH STROKE
t/     0167    LATIN SMALL LETTER T WITH STROKE
U?     0168    LATIN CAPITAL LETTER U WITH TILDE
u?     0169    LATIN SMALL LETTER U WITH TILDE
U-     016a    LATIN CAPITAL LETTER U WITH MACRON
u-     016b    LATIN SMALL LETTER U WITH MACRON
U(     016c    LATIN CAPITAL LETTER U WITH BREVE
u(     016d    LATIN SMALL LETTER U WITH BREVE
U0     016e    LATIN CAPITAL LETTER U WITH RING ABOVE
u0     016f    LATIN SMALL LETTER U WITH RING ABOVE
U"     0170    LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
u"     0171    LATIN SMALL LETTER U WITH DOUBLE ACUTE
U;     0172    LATIN CAPITAL LETTER U WITH OGONEK
u;     0173    LATIN SMALL LETTER U WITH OGONEK
W>     0174    LATIN CAPITAL LETTER W WITH CIRCUMFLEX
w>     0175    LATIN SMALL LETTER W WITH CIRCUMFLEX
Y>     0176    LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
y>     0177    LATIN SMALL LETTER Y WITH CIRCUMFLEX
Y:     0178    LATIN CAPITAL LETTER Y WITH DIAERESIS
Z'     0179    LATIN CAPITAL LETTER Z WITH ACUTE
z'     017a    LATIN SMALL LETTER Z WITH ACUTE
Z.     017b    LATIN CAPITAL LETTER Z WITH DOT ABOVE
z.     017c    LATIN SMALL LETTER Z WITH DOT ABOVE
Z<     017d    LATIN CAPITAL LETTER Z WITH CARON
z<     017e    LATIN SMALL LETTER Z WITH CARON
O9     01a0    LATIN CAPITAL LETTER O WITH HORN
o9     01a1    LATIN SMALL LETTER O WITH HORN
OI     01a2    LATIN CAPITAL LETTER OI
oi     01a3    LATIN SMALL LETTER OI
yr     01a6    LATIN LETTER YR
U9     01af    LATIN CAPITAL LETTER U WITH HORN
u9     01b0    LATIN SMALL LETTER U WITH HORN
Z/     01b5    LATIN CAPITAL LETTER Z WITH STROKE
z/     01b6    LATIN SMALL LETTER Z WITH STROKE
ED     01b7    LATIN CAPITAL LETTER EZH
A<     01cd    LATIN CAPITAL LETTER A WITH CARON
a<     01ce    LATIN SMALL LETTER A WITH CARON
I<     01cf    LATIN CAPITAL LETTER I WITH CARON
i<     01d0    LATIN SMALL LETTER I WITH CARON
O<     01d1    LATIN CAPITAL LETTER O WITH CARON
o<     01d2    LATIN SMALL LETTER O WITH CARON
U<     01d3    LATIN CAPITAL LETTER U WITH CARON
u<     01d4    LATIN SMALL LETTER U WITH CARON
A1     01de    LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
a1     01df    LATIN SMALL LETTER A WITH DIAERESIS AND MACRON
A7     01e0    LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
a7     01e1    LATIN SMALL LETTER A WITH DOT ABOVE AND MACRON
A3     01e2    LATIN CAPITAL LETTER AE WITH MACRON
a3     01e3    LATIN SMALL LETTER AE WITH MACRON
G/     01e4    LATIN CAPITAL LETTER G WITH STROKE
g/     01e5    LATIN SMALL LETTER G WITH STROKE
G<     01e6    LATIN CAPITAL LETTER G WITH CARON
g<     01e7    LATIN SMALL LETTER G WITH CARON
K<     01e8    LATIN CAPITAL LETTER K WITH CARON
k<     01e9    LATIN SMALL LETTER K WITH CARON
O;     01ea    LATIN CAPITAL LETTER O WITH OGONEK
o;     01eb    LATIN SMALL LETTER O WITH OGONEK
O1     01ec    LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
o1     01ed    LATIN SMALL LETTER O WITH OGONEK AND MACRON
EZ     01ee    LATIN CAPITAL LETTER EZH WITH CARON
ez     01ef    LATIN SMALL LETTER EZH WITH CARON
j<     01f0    LATIN SMALL LETTER J WITH CARON
G'     01f4    LATIN CAPITAL LETTER G WITH ACUTE
g'     01f5    LATIN SMALL LETTER G WITH ACUTE
;S     02bf    MODIFIER LETTER LEFT HALF RING
'<     02c7    CARON
'(     02d8    BREVE
'.     02d9    DOT ABOVE
'0     02da    RING ABOVE
';     02db    OGONEK
'"     02dd    DOUBLE ACUTE ACCENT
A%     0386    GREEK CAPITAL LETTER ALPHA WITH ACUTE
E%     0388    GREEK CAPITAL LETTER EPSILON WITH ACUTE
Y%     0389    GREEK CAPITAL LETTER ETA WITH ACUTE
I%     038a    GREEK CAPITAL LETTER IOTA WITH ACUTE
O%     038c    GREEK CAPITAL LETTER OMICRON WITH ACUTE
U%     038e    GREEK CAPITAL LETTER UPSILON WITH ACUTE
W%     038f    GREEK CAPITAL LETTER OMEGA WITH ACUTE
i3     0390    GREEK SMALL LETTER IOTA WITH ACUTE AND DIAERESIS
A*     0391    GREEK CAPITAL LETTER ALPHA
B*     0392    GREEK CAPITAL LETTER BETA
G*     0393    GREEK CAPITAL LETTER GAMMA
D*     0394    GREEK CAPITAL LETTER DELTA
E*     0395    GREEK CAPITAL LETTER EPSILON
Z*     0396    GREEK CAPITAL LETTER ZETA
Y*     0397    GREEK CAPITAL LETTER ETA
H*     0398    GREEK CAPITAL LETTER THETA
I*     0399    GREEK CAPITAL LETTER IOTA
K*     039a    GREEK CAPITAL LETTER KAPPA
L*     039b    GREEK CAPITAL LETTER LAMDA
M*     039c    GREEK CAPITAL LETTER MU
N*     039d    GREEK CAPITAL LETTER NU
C*     039e    GREEK CAPITAL LETTER XI
O*     039f    GREEK CAPITAL LETTER OMICRON
P*     03a0    GREEK CAPITAL LETTER PI
R*     03a1    GREEK CAPITAL LETTER RHO
S*     03a3    GREEK CAPITAL LETTER SIGMA
T*     03a4    GREEK CAPITAL LETTER TAU
U*     03a5    GREEK CAPITAL LETTER UPSILON
F*     03a6    GREEK CAPITAL LETTER PHI
X*     03a7    GREEK CAPITAL LETTER CHI
Q*     03a8    GREEK CAPITAL LETTER PSI
W*     03a9    GREEK CAPITAL LETTER OMEGA
J*     03aa    GREEK CAPITAL LETTER IOTA WITH DIAERESIS
V*     03ab    GREEK CAPITAL LETTER UPSILON WITH DIAERESIS
a%     03ac    GREEK SMALL LETTER ALPHA WITH ACUTE
e%     03ad    GREEK SMALL LETTER EPSILON WITH ACUTE
y%     03ae    GREEK SMALL LETTER ETA WITH ACUTE
i%     03af    GREEK SMALL LETTER IOTA WITH ACUTE
u3     03b0    GREEK SMALL LETTER UPSILON WITH ACUTE AND DIAERESIS
a*     03b1    GREEK SMALL LETTER ALPHA
b*     03b2    GREEK SMALL LETTER BETA
g*     03b3    GREEK SMALL LETTER GAMMA
d*     03b4    GREEK SMALL LETTER DELTA
e*     03b5    GREEK SMALL LETTER EPSILON
z*     03b6    GREEK SMALL LETTER ZETA
y*     03b7    GREEK SMALL LETTER ETA
h*     03b8    GREEK SMALL LETTER THETA
i*     03b9    GREEK SMALL LETTER IOTA
k*     03ba    GREEK SMALL LETTER KAPPA
l*     03bb    GREEK SMALL LETTER LAMDA
m*     03bc    GREEK SMALL LETTER MU
n*     03bd    GREEK SMALL LETTER NU
c*     03be    GREEK SMALL LETTER XI
o*     03bf    GREEK SMALL LETTER OMICRON
p*     03c0    GREEK SMALL LETTER PI
r*     03c1    GREEK SMALL LETTER RHO
*s     03c2    GREEK SMALL LETTER FINAL SIGMA
s*     03c3    GREEK SMALL LETTER SIGMA
t*     03c4    GREEK SMALL LETTER TAU
u*     03c5    GREEK SMALL LETTER UPSILON
f*     03c6    GREEK SMALL LETTER PHI
x*     03c7    GREEK SMALL LETTER CHI
q*     03c8    GREEK SMALL LETTER PSI
w*     03c9    GREEK SMALL LETTER OMEGA
j*     03ca    GREEK SMALL LETTER IOTA WITH DIAERESIS
v*     03cb    GREEK SMALL LETTER UPSILON WITH DIAERESIS
o%     03cc    GREEK SMALL LETTER OMICRON WITH ACUTE
u%     03cd    GREEK SMALL LETTER UPSILON WITH ACUTE
w%     03ce    GREEK SMALL LETTER OMEGA WITH ACUTE
'G     03d8    GREEK NUMERAL SIGN
,G     03d9    GREEK LOWER NUMERAL SIGN
T3     03da    GREEK CAPITAL LETTER STIGMA
t3     03db    GREEK SMALL LETTER STIGMA
M3     03dc    GREEK CAPITAL LETTER DIGAMMA
m3     03dd    GREEK SMALL LETTER DIGAMMA
K3     03de    GREEK CAPITAL LETTER KOPPA
k3     03df    GREEK SMALL LETTER KOPPA
P3     03e0    GREEK CAPITAL LETTER SAMPI
p3     03e1    GREEK SMALL LETTER SAMPI
'%     03f4    ACUTE ACCENT AND DIAERESIS (Tonos and Dialytika)
j3     03f5    GREEK IOTA BELOW
IO     0401    CYRILLIC CAPITAL LETTER IO
D%     0402    CYRILLIC CAPITAL LETTER DJE (Serbocroatian)
G%     0403    CYRILLIC CAPITAL LETTER GJE (Macedonian)
IE     0404    CYRILLIC CAPITAL LETTER UKRAINIAN IE
DS     0405    CYRILLIC CAPITAL LETTER DZE (Macedonian)
II     0406    CYRILLIC CAPITAL LETTER BYELORUSSIAN-UKRAINIAN I
YI     0407    CYRILLIC CAPITAL LETTER YI (Ukrainian)
J%     0408    CYRILLIC CAPITAL LETTER JE
LJ     0409    CYRILLIC CAPITAL LETTER LJE
NJ     040a    CYRILLIC CAPITAL LETTER NJE
Ts     040b    CYRILLIC CAPITAL LETTER TSHE (Serbocroatian)
KJ     040c    CYRILLIC CAPITAL LETTER KJE (Macedonian)
V%     040e    CYRILLIC CAPITAL LETTER SHORT U (Byelorussian)
DZ     040f    CYRILLIC CAPITAL LETTER DZHE
A=     0410    CYRILLIC CAPITAL LETTER A
B=     0411    CYRILLIC CAPITAL LETTER BE
V=     0412    CYRILLIC CAPITAL LETTER VE
G=     0413    CYRILLIC CAPITAL LETTER GHE
D=     0414    CYRILLIC CAPITAL LETTER DE
E=     0415    CYRILLIC CAPITAL LETTER IE
Z%     0416    CYRILLIC CAPITAL LETTER ZHE
Z=     0417    CYRILLIC CAPITAL LETTER ZE
I=     0418    CYRILLIC CAPITAL LETTER I
J=     0419    CYRILLIC CAPITAL LETTER SHORT I
K=     041a    CYRILLIC CAPITAL LETTER KA
L=     041b    CYRILLIC CAPITAL LETTER EL
M=     041c    CYRILLIC CAPITAL LETTER EM
N=     041d    CYRILLIC CAPITAL LETTER EN
O=     041e    CYRILLIC CAPITAL LETTER O
P=     041f    CYRILLIC CAPITAL LETTER PE
R=     0420    CYRILLIC CAPITAL LETTER ER
S=     0421    CYRILLIC CAPITAL LETTER ES
T=     0422    CYRILLIC CAPITAL LETTER TE
U=     0423    CYRILLIC CAPITAL LETTER U
F=     0424    CYRILLIC CAPITAL LETTER EF
H=     0425    CYRILLIC CAPITAL LETTER HA
C=     0426    CYRILLIC CAPITAL LETTER TSE
C%     0427    CYRILLIC CAPITAL LETTER CHE
S%     0428    CYRILLIC CAPITAL LETTER SHA
Sc     0429    CYRILLIC CAPITAL LETTER SHCHA
="     042a    CYRILLIC CAPITAL LETTER HARD SIGN
Y=     042b    CYRILLIC CAPITAL LETTER YERU
%"     042c    CYRILLIC CAPITAL LETTER SOFT SIGN
JE     042d    CYRILLIC CAPITAL LETTER E
JU     042e    CYRILLIC CAPITAL LETTER YU
JA     042f    CYRILLIC CAPITAL LETTER YA
a=     0430    CYRILLIC SMALL LETTER A
b=     0431    CYRILLIC SMALL LETTER BE
v=     0432    CYRILLIC SMALL LETTER VE
g=     0433    CYRILLIC SMALL LETTER GHE
d=     0434    CYRILLIC SMALL LETTER DE
e=     0435    CYRILLIC SMALL LETTER IE
z%     0436    CYRILLIC SMALL LETTER ZHE
z=     0437    CYRILLIC SMALL LETTER ZE
i=     0438    CYRILLIC SMALL LETTER I
j=     0439    CYRILLIC SMALL LETTER SHORT I
k=     043a    CYRILLIC SMALL LETTER KA
l=     043b    CYRILLIC SMALL LETTER EL
m=     043c    CYRILLIC SMALL LETTER EM
n=     043d    CYRILLIC SMALL LETTER EN
o=     043e    CYRILLIC SMALL LETTER O
p=     043f    CYRILLIC SMALL LETTER PE
r=     0440    CYRILLIC SMALL LETTER ER
s=     0441    CYRILLIC SMALL LETTER ES
t=     0442    CYRILLIC SMALL LETTER TE
u=     0443    CYRILLIC SMALL LETTER U
f=     0444    CYRILLIC SMALL LETTER EF
h=     0445    CYRILLIC SMALL LETTER HA
c=     0446    CYRILLIC SMALL LETTER TSE
c%     0447    CYRILLIC SMALL LETTER CHE
s%     0448    CYRILLIC SMALL LETTER SHA
sc     0449    CYRILLIC SMALL LETTER SHCHA
='     044a    CYRILLIC SMALL LETTER HARD SIGN
y=     044b    CYRILLIC SMALL LETTER YERU
%'     044c    CYRILLIC SMALL LETTER SOFT SIGN
je     044d    CYRILLIC SMALL LETTER E
ju     044e    CYRILLIC SMALL LETTER YU
ja     044f    CYRILLIC SMALL LETTER YA
io     0451    CYRILLIC SMALL LETTER IO
d%     0452    CYRILLIC SMALL LETTER DJE (Serbocroatian)
g%     0453    CYRILLIC SMALL LETTER GJE (Macedonian)
ie     0454    CYRILLIC SMALL LETTER UKRAINIAN IE
ds     0455    CYRILLIC SMALL LETTER DZE (Macedonian)
ii     0456    CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
yi     0457    CYRILLIC SMALL LETTER YI (Ukrainian)
j%     0458    CYRILLIC SMALL LETTER JE
lj     0459    CYRILLIC SMALL LETTER LJE
nj     045a    CYRILLIC SMALL LETTER NJE
ts     045b    CYRILLIC SMALL LETTER TSHE (Serbocroatian)
kj     045c    CYRILLIC SMALL LETTER KJE (Macedonian)
v%     045e    CYRILLIC SMALL LETTER SHORT U (Byelorussian)
dz     045f    CYRILLIC SMALL LETTER DZHE
Y3     0462    CYRILLIC CAPITAL LETTER YAT
y3     0463    CYRILLIC SMALL LETTER YAT
O3     046a    CYRILLIC CAPITAL LETTER BIG YUS
o3     046b    CYRILLIC SMALL LETTER BIG YUS
F3     0472    CYRILLIC CAPITAL LETTER FITA
f3     0473    CYRILLIC SMALL LETTER FITA
V3     0474    CYRILLIC CAPITAL LETTER IZHITSA
v3     0475    CYRILLIC SMALL LETTER IZHITSA
C3     0480    CYRILLIC CAPITAL LETTER KOPPA
c3     0481    CYRILLIC SMALL LETTER KOPPA
G3     0490    CYRILLIC CAPITAL LETTER GHE WITH UPTURN
g3     0491    CYRILLIC SMALL LETTER GHE WITH UPTURN
A+     05d0    HEBREW LETTER ALEF
B+     05d1    HEBREW LETTER BET
G+     05d2    HEBREW LETTER GIMEL
D+     05d3    HEBREW LETTER DALET
H+     05d4    HEBREW LETTER HE
W+     05d5    HEBREW LETTER VAV
Z+     05d6    HEBREW LETTER ZAYIN
X+     05d7    HEBREW LETTER HET
Tj     05d8    HEBREW LETTER TET
J+     05d9    HEBREW LETTER YOD
K%     05da    HEBREW LETTER FINAL KAF
K+     05db    HEBREW LETTER KAF
L+     05dc    HEBREW LETTER LAMED
M%     05dd    HEBREW LETTER FINAL MEM
M+     05de    HEBREW LETTER MEM
N%     05df    HEBREW LETTER FINAL NUN
N+     05e0    HEBREW LETTER NUN
S+     05e1    HEBREW LETTER SAMEKH
E+     05e2    HEBREW LETTER AYIN
P%     05e3    HEBREW LETTER FINAL PE
P+     05e4    HEBREW LETTER PE
Zj     05e5    HEBREW LETTER FINAL TSADI
ZJ     05e6    HEBREW LETTER TSADI
Q+     05e7    HEBREW LETTER QOF
R+     05e8    HEBREW LETTER RESH
Sh     05e9    HEBREW LETTER SHIN
T+     05ea    HEBREW LETTER TAV
,+     060c    ARABIC COMMA
;+     061b    ARABIC SEMICOLON
?+     061f    ARABIC QUESTION MARK
H'     0621    ARABIC LETTER HAMZA
aM     0622    ARABIC LETTER ALEF WITH MADDA ABOVE
aH     0623    ARABIC LETTER ALEF WITH HAMZA ABOVE
wH     0624    ARABIC LETTER WAW WITH HAMZA ABOVE
ah     0625    ARABIC LETTER ALEF WITH HAMZA BELOW
yH     0626    ARABIC LETTER YEH WITH HAMZA ABOVE
a+     0627    ARABIC LETTER ALEF
b+     0628    ARABIC LETTER BEH
tm     0629    ARABIC LETTER TEH MARBUTA
t+     062a    ARABIC LETTER TEH
tk     062b    ARABIC LETTER THEH
g+     062c    ARABIC LETTER JEEM
hk     062d    ARABIC LETTER HAH
x+     062e    ARABIC LETTER KHAH
d+     062f    ARABIC LETTER DAL
dk     0630    ARABIC LETTER THAL
r+     0631    ARABIC LETTER REH
z+     0632    ARABIC LETTER ZAIN
